581.4 68.9     1380014.1
68.6 58.2     116182.3
332.8 50.2     419334.7
819.4 48.5     963716.9
7.6 69.7     18460.7
499.2 34.9     304015.3
836.4 56.6     1339728.8
372.5 75.8     1070125.6
880.5 17.5     134826.6
347.3 9.1     14380.0
191.5 5.1     2490.5
749.6 50.7     963419.6
152.5 90.1     618998.3
240.4 35.2     148932.6
583.9 61.6     1107821.8
150.3 12.2     11185.3
549.8 63.0     1091078.1
915.2 53.6     1314666.4
247.3 94.8     1111247.6
848.3 63.6     1715669.6
742.5 92.8     3197146.0
88.8 81.4     294192.7
28.6 3.6     185.3
175.6 18.6     30375.3
29.2 26.0     9869.6
653.2 91.6     2740356.8
5.9 83.5     20568.1
450.1 29.2     191886.6
613.5 42.9     564545.8
408.7 80.6     1327531.1
708.9 57.3     1163762.1
279.2 95.7     1278525.1
490.5 52.3     670829.9
165.5 95.5     754700.7
483.4 69.8     1177572.1
926.5 79.2     2905800.2
171.2 19.0     30901.6
321.4 57.3     527624.7
273.4 49.1     329557.7
836.9 42.8     766533.4
32.5 20.9     7098.2
722.1 52.4     991356.7
652.6 29.4     282040.7
754.3 92.0     3192197.5
843.0 68.5     1977783.4
903.5 28.7     372102.0
225.5 33.1     123530.0
319.2 43.4     300616.2
115.5 25.3     36965.2
616.0 37.9     442414.3
619.3 76.3     1802686.4
448.9 59.2     786616.4
271.7 49.1     327508.5
870.4 13.0     73548.8
184.0 67.2     415457.2
304.1 73.8     828131.3
292.8 32.2     151793.4
615.8 60.2     1115841.9
135.5 70.3     334826.6
133.6 89.8     538677.9
392.8 96.4     1825137.2
544.4 71.7     1399350.2
361.7 58.4     616799.8
848.2 93.4     3699662.0
505.3 11.6     33996.6
472.9 33.5     265356.0
290.7 94.9     1309023.8
737.0 95.6     3367854.0
832.7 4.0     6661.6
189.3 12.1     13857.7
245.7 72.6     647512.8
331.6 33.4     184959.9
483.8 76.4     1411960.8
659.9 64.3     1364175.1
485.9 87.8     1872862.8
82.6 15.5     9922.3
266.2 87.3     1014393.8
18.2 87.1     69036.3
695.7 49.7     859220.9
155.2 8.1     5091.3
41.9 95.1     189472.0
790.6 72.0     2049235.1
29.2 98.1     140504.7
356.5 77.9     1081694.1
647.9 85.8     2384803.5
445.6 90.6     1828822.5
940.0 62.5     1835937.5
932.1 12.6     73990.1
293.2 48.3     342001.7
408.1 67.2     921457.1
953.9 95.2     4322616.5
734.7 27.6     279832.5
492.0 10.6     27640.6
398.8 16.6     54946.7
184.7 7.6     5334.1
42.6 76.8     125632.5
84.7 47.6     95954.9
82.3 58.9     142758.0
917.8 62.9     1815596.6
147.8 33.9     84926.6
586.7 35.7     373871.7
751.1 27.7     288155.8
808.6 18.3     135396.0
671.3 87.8     2587472.2
168.7 50.5     215113.6
13.9 71.8     35828.9
257.6 44.8     258506.8
447.4 79.7     1420962.4
825.0 25.5     268228.1
203.9 79.3     641111.6
382.4 41.7     332475.8
737.0 5.2     9964.2
911.8 20.5     191592.0
579.3 88.3     2258369.2
567.6 32.1     292430.3
487.4 99.9     2432128.5
50.6 3.3     275.5
168.0 63.6     339776.6
953.5 16.8     134557.9
305.9 27.4     114828.7
570.3 22.8     148232.4
513.7 48.3     599202.8
397.0 6.2     7630.3
854.4 96.5     3978193.2
76.5 23.3     20765.5
479.1 77.2     1427679.5
356.8 37.3     248206.1
393.2 95.6     1796798.1
410.6 64.2     846172.6
664.8 67.8     1527989.8
897.8 74.5     2491507.2
269.8 72.7     712985.5
302.0 11.6     20318.6
999.0 42.7     910733.4
487.0 6.7     10930.7
276.3 28.1     109084.6
225.6 7.3     6011.1
522.9 70.5     1299471.9
544.1 70.8     1363688.9
901.0 52.6     1246425.2
568.6 65.6     1223445.1
426.0 21.1     94829.7
789.4 98.3     3813943.0
689.7 16.2     90502.4
16.8 13.3     1485.9
953.2 31.4     469908.5
248.3 96.1     1146551.4
107.6 77.9     326480.5
179.0 45.1     182043.9
874.9 98.6     4252871.5
414.9 91.5     1736823.2
544.0 53.7     784363.8
884.6 10.8     51589.9
835.6 76.6     2451466.2
489.8 31.7     246097.6
343.8 4.1     2889.6
229.9 85.1     832469.0
58.7 46.2     62645.8
774.0 38.0     558828.0
34.2 59.3     60132.0
416.2 80.7     1355249.1
540.4 4.4     5231.1
294.6 46.1     313043.4
260.5 26.0     88049.0
680.2 19.1     124071.9
111.3 60.7     205041.9
467.7 80.1     1500383.9
276.9 6.1     5151.7
88.9 7.6     2567.4
441.9 96.3     2049021.9
161.4 78.6     498561.3
224.5 22.4     56322.6
803.5 87.1     3047840.0
398.5 64.1     818680.3
800.4 43.1     743415.5
852.9 87.7     3279950.5
498.0 34.7     299818.4
906.2 60.0     1631160.0
290.3 72.2     756643.6
783.5 86.3     2917632.8
938.0 76.0     2708944.0
859.0 7.3     22888.1
369.8 40.0     295840.0
879.4 82.9     3021798.8
428.8 34.9     261141.4
447.7 2.3     1184.2
704.9 79.4     2221972.0
820.4 81.4     2717969.0
700.1 8.0     22403.2
705.4 91.0     2920708.8
434.2 87.3     1654582.2
493.5 79.4     1555600.9
57.5 75.4     163448.4
985.4 26.5     345998.6
118.8 80.4     383971.1
400.0 48.6     472392.0
63.2 69.8     153956.5
544.9 34.3     320534.7
50.0 19.1     9120.3
877.5 85.4     3199874.0
